Red,Green,Blue
11098,7827,5068
10867,7645,4959
10639,7482,4859
11049,7959,5235
10668,7822,5209
8141,6422,4505
7354,5985,4248
7730,6173,4301
8924,6891,4610
9796,7554,5019
9603,7435,4946
8839,6929,4656
8097,6455,4398
7518,6156,4280
8019,6418,4383
8850,6871,4577
9056,7034,4689
8553,6817,4632
7928,6430,4413
7362,6009,4192
7467,6003,4179
7790,6168,4266
7772,6157,4289
7692,6078,4235
7541,5896,4106
7108,5672,4007
6755,5533,3986
6495,5488,4023
6397,5409,3958
6608,5559,4044
7109,5809,4132
7654,6128,4274
7692,6159,4290
7182,5884,4195
6782,5615,4066
7104,5732,4081
7400,6062,4336
7206,5888,4205
7379,5936,4192
7433,5955,4205
7110,5762,4105
6442,5367,3910
6442,5367,3932
6433,5392,3932
6724,5610,4041
7186,5965,4250
7336,6059,4286
7574,6149,4270
8044,6413,4381
7932,6376,4391
7403,6118,4317
6923,5765,4105
7499,6104,4294
7808,6279,4389
7701,6162,4320
7562,6094,4316
7536,6017,4234
7164,5806,4140
7233,5804,4124
6804,5513,3970
7562,5901,4178
8101,6235,4398
8592,6522,4580
8641,6479,4525
8774,6511,4514
8794,6507,4506
8856,6547,4531
9008,6677,4619
8609,6440,4481
8849,6553,4503
9135,6718,4583
8708,6560,4515
8401,6400,4423
8292,6317,4368
8385,6310,4338
8359,6250,4299
7738,5942,4202
7594,5852,4189
8032,6154,4394
8136,6200,4407
8183,6193,4386
8298,6225,4395
8344,6286,4476
8370,6236,4422
8905,6554,4626
8807,6592,4703
8297,6256,4476
8818,6479,4562
9111,6688,4707
9067,6632,4653
9170,6691,4686
8946,6719,4793
8840,6622,4717
8610,6434,4582
8340,6187,4388
8340,6187,4388
8585,6331,4461
9147,6779,4775
9942,7130,4949
10268,7316,5050
10105,7195,4951
8976,6644,4697
8432,6312,4475
8572,6537,4515
8792,6749,4615
9022,6851,4648
9223,6944,4691
8879,6709,4573
8336,6411,4448
8660,6631,4551
9923,7336,4857
10870,7879,5093
11721,8339,5300
11971,8500,5382
11455,8107,5121
11152,7901,5026
11392,8216,5316
11298,7974,5072
11527,7972,5038
11726,8182,5216
11657,8087,5148
11505,8005,5113
10858,7594,4889
10641,7514,4880
10369,7450,4888
10474,7513,4909
10582,7507,4848
10221,7297,4741
10082,7246,4747
10376,7395,4826
10371,7434,4892
10242,7434,4955
10269,7433,4952
10186,7373,4921
