Red,Green,Blue
11920,13626,7612
13372,15319,8414
14469,16619,9015
14620,16801,9099
14581,16755,9083
13620,15598,8550
13927,15936,8719
14625,16753,9108
14811,16968,9220
13311,15180,8389
13648,15537,8568
15060,17203,9352
15052,17183,9343
14995,17099,9303
14965,17053,9286
14831,16893,9215
14943,17026,9285
15042,17157,9350
15056,17179,9361
15098,17265,9408
15132,17317,9430
15245,17437,9490
14750,16897,9208
14320,16362,8957
12829,14621,8135
13097,14947,8279
13449,15363,8469
13055,14941,8267
14000,16069,8791
14672,16781,9243
14363,16295,9286
15184,17269,9811
14392,16372,9390
13310,15188,8729
11835,13550,7877
12490,14363,8146
13449,15597,8580
13140,15407,8227
14170,16688,8788
14441,17037,8962
13849,16368,8593
13220,15630,8211
12289,14460,7750
11491,13383,7435
13358,15302,8561
11866,13518,7911
11446,13040,7724
13183,15011,8582
13970,15940,8963
13574,15475,8783
13574,15475,8783
13950,15922,8991
14160,16196,9108
15072,17293,9589
15822,18277,9936
15482,17850,9776
15099,17368,9603
15373,17684,9753
15447,17824,9766
15970,18800,9845
16789,19822,10312
16094,18958,9918
14885,17454,9296
14295,16712,8991
12929,14884,8414
11462,13356,7526
12133,13919,8067
12215,14023,8148
10956,12592,7531
11306,12989,7700
11543,13269,7818
12595,14497,8344
13149,15172,8617
12925,14941,8500
13489,15689,8776
13580,15846,8825
13563,15910,8817
13060,15347,8527
12484,14559,8288
12228,14195,8182
11364,13194,7745
10817,12574,7474
10457,12176,7284
11238,13070,7684
12711,14808,8426
14257,16688,9204
14432,16910,9303
14319,16775,9246
14309,16767,9245
13816,16157,8981
12948,15107,8530
12557,14648,8348
13033,15210,8595
12026,13988,8077
11357,13205,7740
11468,13349,7792
12421,14490,8270
13796,16250,8945
14296,16874,9220
14788,17518,9481
14439,17022,9325
12833,15020,8495
12833,15020,8495
11736,13739,7941
12000,14077,8108
11905,13940,8004
12045,14128,8071
11897,13961,8008
11194,13122,7656
11287,13260,7709
11230,13211,7681
11568,13618,7838
11926,14044,8017
11111,13070,7595
11553,13603,7791
11913,14040,7972
12353,14604,8178
13323,15883,8617
13193,15690,8568
13458,15996,8715
13572,16093,8776
13631,16356,8687
13141,15713,8450
12310,14543,8118
12496,14846,8151
11974,14182,7896
11766,14020,7704
12173,14422,8007
11853,13923,7915
11270,13230,7623
11262,13241,7606
11496,13564,7713
11704,13883,7801
11811,14048,7839
11743,13872,7855
11412,13479,7688
11703,14037,7662
11203,13378,7475
10757,12896,7223
10721,12943,7133
11099,13404,7336
11388,13572,7648
10532,12711,7098
11020,13332,7281
12126,14708,7808
11417,13877,7452
11568,14108,7543
10565,12882,7022
10183,12443,6831
10511,12849,6998
10828,13269,7176
10837,13271,7175
10520,12898,7017
10636,13074,7084
11012,13539,7282
11012,13539,7282
11534,14185,7553
11546,14214,7564
11442,14085,7518
11194,13776,7408
11505,14183,7566
11635,14328,7628
11668,14285,7749
11183,13761,7410
9542,11522,6731
9321,11177,6687
9721,11672,6865
9979,11943,7016
10184,12145,7141
10360,12360,7203
10499,12471,7292
11105,13196,7588
10727,12757,7402
10582,12668,7288
10053,12003,7060
9932,11843,7030
10335,12349,7236
9369,11198,6769
8899,10648,6505
9073,10844,6605
9005,10765,6568
9386,11207,6783
10698,12789,7448
11414,13735,7792
11573,14022,7842
11575,14042,7844
11604,14065,7866
11632,14107,7878
11524,13996,7782
11166,13661,7477
11402,13900,7623
11834,14384,7937
11843,14479,7841
12323,15043,8086
12416,15074,8161
12630,15333,8358
12427,14982,8352
12594,15189,8470
13084,15707,8803
13135,15755,8841
13482,16204,9040
13568,16343,9079
13608,16399,9095
13691,16503,9133
13662,16498,9104
13833,16697,9186
13987,16871,9265
13325,16196,8833
13325,16196,8833
12374,15195,8184
12329,15046,8144
10333,12707,7008
9309,11433,6451
8746,10763,6150
7817,9668,5663
8552,10550,6012
9382,11542,6437
9661,11864,6590
9869,12083,6703
9635,11827,6600
9383,11544,6434
9791,11990,6654
9348,11423,6448
9149,11061,6386
9947,11899,6829
11597,13807,7740
11724,13904,7824
12546,14775,8282
13062,15157,8726
14943,17574,9790
14737,17378,9609
14428,17062,9328
13951,16554,9092
13686,16274,8913
13449,16021,8772
12395,14764,8169
11338,13486,7561
12585,14986,8243
12536,14936,8205
12098,14485,7976
12326,14732,8083
11187,13306,7626
11780,14182,7824
11864,14329,7878
11865,14331,7884
11996,14489,8092
11767,14224,7883
11893,14364,8023
12022,14524,8113
12230,14756,8284
12352,14777,8392
12184,14711,8175
12275,14835,8202
12209,14738,8165
12073,14487,8201
11625,13881,8057
11946,14497,8120
11985,14530,8138
11927,14454,8106
11631,14020,7911
11631,14020,7911
11770,14195,8014
11648,13985,8069
11812,14107,8069
12120,14424,8154
12222,14537,8214
12662,15022,8427
13244,15674,8694
14005,16538,9042
14345,16987,9220
14366,17031,9233
14365,17038,9243
14390,17084,9259
14157,16827,9126
14337,17040,9229
14499,17195,9305
14551,17281,9353
14514,17245,9341
14374,17081,9266
14641,17376,9411
14663,17374,9413
14142,16758,9123
13006,15387,8475
12469,14694,8154
12964,15244,8402
13549,15918,8715
14254,16772,9112
13848,16318,8892
13440,15834,8643
13352,15716,8580
13329,15686,8569
13541,15895,8757
13459,15811,8706
12023,14147,7831
10293,12140,6909
11336,13339,7439
12325,14464,7946
12290,14405,7921
12079,14127,7791
11967,13982,7719
11901,13894,7679
10068,11793,6755
10723,12512,7091
11083,12953,7299
11878,13885,7707
13546,15868,8602
13507,15829,8584
13260,15521,8444
13895,16342,8821
12385,14484,8213
12346,14356,8257
12391,14379,8300
12127,14151,8112
12127,14151,8112
11722,13815,7716
11259,13266,7569
